feature,importance
payment_value,3740
delivery_days_diff_mean,2642
delivery_actual_days_mean,2462
payment_installments,1453
review_review_score_mean,700
review_review_score_min,325
review_bad_ratio,157
delivery_dissatisfaction_score,156
rfm_hist_monthly_orders,128
delivery_speed_fast,117
delivery_speed_slow,106
delivery_speed_normal,103
review_dissatisfied,89
payment_type,87
payment_high_installments,65
cancellation_ratio,62
delivery_very_slow_ratio,62
delivery_slow_ratio,60
delivery_late_ratio,37
payment_multiple_types,31
rfm_hist_payment_value_mean,26
delivery_frequently_slow,19
delivery_consistently_late,14
has_cancellations,14
delivery_has_very_slow,13
rfm_hist_shipping_ratio,5
rfm_hist_was_frequent,2
delivery_speed_very_slow,1
rfm_hist_was_valuable,0
delivery_likely_dissatisfied,0
